,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
379,1583993940000,2020-03-12 06:19:00,ETHUSD,176.77,177.12,176.77,177.12,3.820287
380,1583994000000,2020-03-12 06:20:00,ETHUSD,177.12,177.24,177.12,177.12,20.00237
381,1583994060000,2020-03-12 06:21:00,ETHUSD,177.12,177.43,177.12,177.26,1.276817
382,1583994120000,2020-03-12 06:22:00,ETHUSD,177.26,177.26,176.8,177.15,9.49165
383,1583994180000,2020-03-12 06:23:00,ETHUSD,177.15,177.15,177.15,177.15,0.0
384,1583994240000,2020-03-12 06:24:00,ETHUSD,177.15,177.15,177.15,177.15,0.0
385,1583994300000,2020-03-12 06:25:00,ETHUSD,177.15,177.15,176.94,176.94,10.269719
386,1583994360000,2020-03-12 06:26:00,ETHUSD,176.94,176.94,175.23,175.23,33.333464
387,1583994420000,2020-03-12 06:27:00,ETHUSD,175.23,175.91,175.23,175.91,24.492161
388,1583994480000,2020-03-12 06:28:00,ETHUSD,175.91,175.91,175.91,175.91,10.0
389,1583994540000,2020-03-12 06:29:00,ETHUSD,175.91,175.91,175.61,175.61,1.394665
390,1583994600000,2020-03-12 06:30:00,ETHUSD,175.61,175.61,175.34,175.34,0.00182
391,1583994660000,2020-03-12 06:31:00,ETHUSD,175.34,175.34,174.33,174.33,98.545287
392,1583994720000,2020-03-12 06:32:00,ETHUSD,174.33,174.56,174.01,174.56,11.633016
393,1583994780000,2020-03-12 06:33:00,ETHUSD,174.56,174.56,174.0,174.0,23.99
394,1583994840000,2020-03-12 06:34:00,ETHUSD,174.0,174.06,173.82,173.82,47.632636
395,1583994900000,2020-03-12 06:35:00,ETHUSD,173.82,173.92,173.01,173.71,126.657249
396,1583994960000,2020-03-12 06:36:00,ETHUSD,173.71,173.8,173.54,173.65,286.005644
397,1583995020000,2020-03-12 06:37:00,ETHUSD,173.65,173.65,171.67,172.43,340.83377
398,1583995080000,2020-03-12 06:38:00,ETHUSD,172.43,173.87,172.43,173.13,285.71027
399,1583995140000,2020-03-12 06:39:00,ETHUSD,173.13,173.88,173.13,173.88,503.022903
400,1583995200000,2020-03-12 06:40:00,ETHUSD,173.88,173.88,172.92,173.46,9.536981
401,1583995260000,2020-03-12 06:41:00,ETHUSD,173.46,173.93,173.33,173.49,31.83956959
402,1583995320000,2020-03-12 06:42:00,ETHUSD,173.49,173.73,173.49,173.73,9.31814
403,1583995380000,2020-03-12 06:43:00,ETHUSD,173.73,173.73,173.49,173.49,14.1218
404,1583995440000,2020-03-12 06:44:00,ETHUSD,173.49,173.91,173.4,173.91,92.06287298
405,1583995500000,2020-03-12 06:45:00,ETHUSD,173.91,173.91,173.57,173.57,92.769059
406,1583995560000,2020-03-12 06:46:00,ETHUSD,173.57,173.57,173.12,173.12,61.954682
407,1583995620000,2020-03-12 06:47:00,ETHUSD,173.12,173.21,172.98,173.14,51.051903
408,1583995680000,2020-03-12 06:48:00,ETHUSD,173.14,173.49,173.14,173.48,90.5855
409,1583995740000,2020-03-12 06:49:00,ETHUSD,173.48,173.52,173.48,173.52,43.1503
